division,shapefile_district,other_names,,,,,,,,,,,
Chittagong,B. Baria,Brahamanbaria,Brahmanbaria,,,,,,,,,,
Khulna,Bagerhat,Bagerhat,,,,,,,,,,,
Chittagong,Bandarban,Bandarban,,,,,,,,,,,
Barisal,Barguna,Barguna,,,,,,,,,,,
Barisal,Barishal,Barisal,,,,,,,,,,,
Barisal,Bhola,Bhola,,,,,,,,,,,
Rajshahi,Bogra,Bogra,,,,,,,,,,,
Chittagong,Chandpur,Chandpur,,,,,,,,,,,
Rajshahi,Chapainawabganj,Nawabganj,,,,,,,,,,,
Chittagong,Chattogram,Chittagong,,,,,,,,,,,
Khulna,Chuadanga,Chuadanga,,,,,,,,,,,
Chittagong,Cox's bazar,Cox's Bazar,,,,,,,,,,,
Chittagong,Cumilla,Comilla,,,,,,,,,,,
Dhaka,Dhaka,Dhaka,,,,,,,,,,,
Rangpur,Dinajpur,Dinajpur,,,,,,,,,,,
Dhaka,Faridpur,Faridpur,,,,,,,,,,,
Chittagong,Feni,Feni,,,,,,,,,,,
Rangpur,Gaibandha,Gaibandha,,,,,,,,,,,
Dhaka,Gazipur,Gazipur,,,,,,,,,,,
Dhaka,Gopalganj,Gopalganj,,,,,,,,,,,
Sylhet,Hobiganj,Habiganj,,,,,,,,,,,
Mymensingh,Jamalpur,Jamalpur,,,,,,,,,,,
Khulna,Jessore,Jessore,,,,,,,,,,,
Barisal,Jhalokathi,Jhalokati,,,,,,,,,,,
Khulna,Jhenaidah,Jhenaidah,,,,,,,,,,,
Rajshahi,Joypurhat,Joypurhat,,,,,,,,,,,
Chittagong,Khagrachari,Khagrachhari,,,,,,,,,,,
Khulna,Khulna,Khulna,,,,,,,,,,,
Dhaka,Kishoreganj,Kishoreganj,,,,,,,,,,,
Rangpur,Kurigram,Kurigram,,,,,,,,,,,
Khulna,Kushtia,Kushtia,,,,,,,,,,,
Chittagong,Laksmipur,Lakshmipur,,,,,,,,,,,
Rangpur,Lalmonirhat,Lalmonirhat,,,,,,,,,,,
Dhaka,Madaripur,Madaripur,,,,,,,,,,,
Khulna,Magura,Magura,,,,,,,,,,,
Dhaka,Manikganj,Manikganj,,,,,,,,,,,
Khulna,Meherpur,Meherpur,,,,,,,,,,,
Sylhet,Moulovi Bazar,Maulvibazar,,,,,,,,,,,
Dhaka,Munshigonj,Munshiganj,,,,,,,,,,,
Mymensingh,Mymensingh,Mymensingh,,,,,,,,,,,
Rajshahi,Naogaon,Naogaon,,,,,,,,,,,
Khulna,Narail,Narail,,,,,,,,,,,
Dhaka,Narayanganj,Narayanganj,,,,,,,,,,,
Dhaka,Narshingdi,Narsingdi,,,,,,,,,,,
Rajshahi,Natore,Natore,,,,,,,,,,,
Mymensingh,Netrokona,Netrakona,,,,,,,,,,,
Rangpur,Nilphamari,Nilphamari,,,,,,,,,,,
Chittagong,Noakhali,Noakhali,,,,,,,,,,,
Rajshahi,Pabna,Pabna,,,,,,,,,,,
Rangpur,Panchagar,Panchagarh,,,,,,,,,,,
Barisal,Pirojpur,Pirojpur,,,,,,,,,,,
Barisal,Potuakhali,Patuakhali,,,,,,,,,,,
Dhaka,Rajbari,Rajbari,,,,,,,,,,,
Rajshahi,Rajshahi,Rajshahi,,,,,,,,,,,
Chittagong,Rangamati,Rangamati,,,,,,,,,,,
Rangpur,Rangpur,Rangpur,,,,,,,,,,,
Khulna,Satkhira,Satkhira,,,,,,,,,,,
Dhaka,Shariatpur,Shariatpur,,,,,,,,,,,
Mymensingh,Sherpur,Sherpur,,,,,,,,,,,
Rajshahi,Sirajganj,Sirajganj,,,,,,,,,,,
Sylhet,Sunamganj,Sunamganj,,,,,,,,,,,
Sylhet,Sylhet,Sylhet,,,,,,,,,,,
Dhaka,Tangail,Tangail,,,,,,,,,,,
Rangpur,Thakurgaon,Thakurgaon,,,,,,,,,,,
,,,,,,,,,,,,,
cox,baria,bari,nawab,tt,jhalo,khag,lak,bazar,nao,nars,netr,panch,kishor
Cox's bazar,B. Baria,Barishal,Chapainawabganj,Chattogram,Jhalokathi,Khagrachari,Laksmipur,Moulovi Bazar,Naogaon,Narshingdi,Netrokona,Panchagar,Kishoreganj
